id,timestamp,sensor_id,total
68038,8/17/2020 7:51,265,118
68039,8/17/2020 7:51,271,247
68040,8/17/2020 7:51,277,247
68041,8/17/2020 7:51,283,247
68042,8/17/2020 7:56,265,119
68043,8/17/2020 7:56,271,254
68044,8/17/2020 7:56,277,254
68045,8/17/2020 7:56,283,254
68046,8/17/2020 8:01,265,119
68047,8/17/2020 8:01,271,260
68048,8/17/2020 8:01,277,260
68049,8/17/2020 8:01,283,260
68054,8/17/2020 8:06,265,120
68055,8/17/2020 8:06,271,262
68056,8/17/2020 8:06,277,262
68057,8/17/2020 8:06,283,262
68062,8/17/2020 8:11,265,121
68063,8/17/2020 8:11,271,264
68064,8/17/2020 8:11,277,264
68065,8/17/2020 8:11,283,264
68070,8/17/2020 8:16,265,124
68071,8/17/2020 8:16,271,269
68072,8/17/2020 8:16,277,269
68073,8/17/2020 8:16,283,269
68385,8/17/2020 16:11,265,67
68386,8/17/2020 16:11,277,756
68387,8/17/2020 16:11,283,756
68388,8/17/2020 16:16,265,69
68389,8/17/2020 16:16,277,759
68390,8/17/2020 16:16,283,760
68391,8/17/2020 16:21,265,70
68392,8/17/2020 16:21,277,764
68393,8/17/2020 16:21,283,764
68394,8/17/2020 16:26,265,70
68395,8/17/2020 16:26,277,769
68396,8/17/2020 16:26,283,769
68397,8/17/2020 16:31,265,70
68398,8/17/2020 16:31,277,771
68399,8/17/2020 16:31,283,771
76565,8/26/2020 12:42,265,30
77101,8/26/2020 15:35,271,50
77637,8/28/2020 12:25,283,212
78209,8/31/2020 12:11,277,345
78773,8/31/2020 15:57,271,345
79316,8/31/2020 19:35,306,0
79890,8/31/2020 23:25,306,0
80448,9/1/2020 3:07,277,0
80994,9/1/2020 6:45,283,0
81543,9/1/2020 10:27,277,292
82110,9/1/2020 14:15,306,0
82661,9/1/2020 18:25,277,734
83230,9/1/2020 22:13,271,884
83778,9/2/2020 1:53,306,0
84321,9/2/2020 5:29,277,79
68050,8/17/2020 15:01,265,120
68051,8/17/2020 15:01,271,261
68052,8/17/2020 15:01,277,261
68053,8/17/2020 15:01,283,261
68058,8/17/2020 15:06,265,120
68059,8/17/2020 15:06,271,262
68060,8/17/2020 15:06,277,262
68061,8/17/2020 15:06,283,264
68066,8/17/2020 15:11,265,122
68067,8/17/2020 15:11,271,267
68068,8/17/2020 15:11,277,267
68069,8/17/2020 15:11,283,267
68074,8/17/2020 15:16,265,124
68075,8/17/2020 15:16,271,269
68076,8/17/2020 15:16,277,269
68077,8/17/2020 15:16,283,272
68082,8/17/2020 15:21,265,129
68083,8/17/2020 15:21,271,273
68084,8/17/2020 15:21,277,273
68085,8/17/2020 15:21,283,273
68400,8/17/2020 16:36,265,71
68401,8/17/2020 16:36,277,772
68402,8/17/2020 16:36,283,772
68403,8/17/2020 16:41,265,71
68404,8/17/2020 16:41,277,778
68405,8/17/2020 16:41,283,778
68406,8/17/2020 16:46,265,72
68407,8/17/2020 16:46,277,780
68408,8/17/2020 16:46,283,782
68409,8/17/2020 16:51,265,72
68410,8/17/2020 16:51,277,784
68411,8/17/2020 16:51,283,784
68412,8/17/2020 16:56,265,72
68413,8/17/2020 16:56,277,788
68414,8/17/2020 16:56,283,789
68415,8/17/2020 17:01,265,73
68416,8/17/2020 17:01,277,792
68417,8/17/2020 17:01,283,793
68418,8/17/2020 17:06,265,73
68419,8/17/2020 17:06,277,795
68420,8/17/2020 17:06,283,795
76566,8/26/2020 12:42,265,30
77102,8/26/2020 15:35,277,634
77638,8/28/2020 12:27,265,26
78210,8/31/2020 12:11,283,125
78211,8/31/2020 12:13,306,0
78774,8/31/2020 15:57,277,345
79317,8/31/2020 19:35,265,20
79891,8/31/2020 23:25,265,0
80449,9/1/2020 3:07,283,0
80995,9/1/2020 6:47,306,0
81544,9/1/2020 10:27,283,141
82111,9/1/2020 14:15,265,40
82662,9/1/2020 18:25,283,379
83231,9/1/2020 22:13,277,884
83779,9/2/2020 1:53,265,1
84322,9/2/2020 5:29,283,26
68078,8/17/2020 8:21,265,127
68079,8/17/2020 8:21,271,273
